"","superkingdom","phylum","class","order","family","genus","species"
"60f26109383439adb91b87ecb8a7c33c","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales",NA,"Acremonium","Acremonium sclerotigenum"
"ef7e531639f6e697cef9e41810d0a273","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales",NA,"Acremonium","Acremonium sclerotigenum"
"0f1d540fdad928626cde131298a1989c","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales",NA,"Acremonium","Acremonium sclerotigenum"
"1136d42287579667a1a586b9515f060d","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales",NA,"Acremonium","Acremonium sclerotigenum"
"3931657d18072ca753233a624d2122e8","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales",NA,"Acremonium","Acremonium sclerotigenum"
"0fb0ce2288b2b4bff6eefe5e8a24463c",NA,NA,NA,NA,NA,NA,NA
"23ec684eaddc4d0bc82dd585520a2a04",NA,NA,NA,NA,NA,NA,NA
"13066d2d7f66032f9a65e7c232f65834","Eukaryota","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea","Dothidea insculpta"
"ddce75db173465683568f25d9bd998e4","Eukaryota","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",NA
"3fb7d02099cf1b9f47de1276044485ab",NA,NA,NA,NA,NA,NA,NA
"ed93345a6fc3852749df5c25ea9d942d",NA,NA,NA,NA,NA,NA,NA
"3a5c9f60c038d553eb5c6f2d57d31e31",NA,NA,NA,NA,NA,NA,NA
"d6463d3050d5088f13ef32ba3a70a3b6",NA,NA,NA,NA,NA,NA,NA
"945d1c6431e07cb023d8267718f46960",NA,NA,NA,NA,NA,NA,NA
"af8600ae690920a0a86df35a08b59307",NA,NA,NA,NA,NA,NA,NA
"e715087443e6c07342504fc3ea993db7",NA,NA,NA,NA,NA,NA,NA
"00c004d734eb1a10a4b7a112e1671cdb",NA,NA,NA,NA,NA,NA,NA
"70b85742e2d17557cc04b6a59a400cd5",NA,NA,NA,NA,NA,NA,NA
"d6a459e9e2aa2fbead4d15ccc0216a00",NA,NA,NA,NA,NA,NA,NA
"04d6388d4f761474cafb3b2c581fefb0",NA,NA,NA,NA,NA,NA,NA
"ed396c3614fd89457adcafe0a86ae1df","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma sp."
"1e09d5c42df1844c392b1b1313a480d5","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Simplicillium","Simplicillium sympodiophorum"
"81f1831d23ef5c7def7bafbe0a3695bf","Eukaryota","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces sp."
"6cafe5815453cd00216e6062f4bfb922","Eukaryota",NA,NA,NA,NA,NA,NA
"9b400a3e97ea2a7181ee62d5f6c4ea1b","Eukaryota",NA,NA,NA,NA,NA,NA
"ab3e1998fb12c6c5dce571916d6665b1","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,"Nectriaceae sp."
"05ff24a0112802b3048a1d0313071390","Eukaryota",NA,NA,NA,NA,NA,NA
"90d752a5cd75f88809abf1a52105589c","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium verticillioides"
"a86b259468ce8841031e0bb071956393","Eukaryota",NA,NA,NA,NA,NA,NA
"832731d65a24fa36783efd18118fcaa5","Eukaryota",NA,NA,NA,NA,NA,NA
"685485ff6277ab3887b60b13318cfc80","Eukaryota",NA,NA,NA,NA,NA,NA
"b595abe2642f922850bc5113235f76fd","Eukaryota",NA,NA,NA,NA,NA,NA
"be30ad911725548fbbf9e8443623d7b4","Eukaryota",NA,NA,NA,NA,NA,NA
"72b2a1e6ef0c9d68deec36a2973cbb1f","Eukaryota",NA,NA,NA,NA,NA,NA
"cd8f9084474f5ab97f1276e8d55ad316","Eukaryota",NA,NA,NA,NA,NA,NA
"ffc4b4b3cad0555a8f960cfcae9c4dd9","Eukaryota",NA,NA,NA,NA,NA,NA
"858df09608bf385a4e0a20ca52181bb7","Eukaryota",NA,NA,NA,NA,NA,NA
"0599a087c284bf368cb15a9f5e334f98","Eukaryota",NA,NA,NA,NA,NA,NA
"85cb441b97d545c57e0a07635cad64ec","Eukaryota",NA,NA,NA,NA,NA,NA
"fbb7c0048704bdc85f2c35408db1a2f0","Eukaryota",NA,NA,NA,NA,NA,NA
"443595e756e19d71e55879656eb4a2bb","Eukaryota",NA,NA,NA,NA,NA,NA
"d8bb33cf3bde6dec164ab2770d31306f","Eukaryota",NA,NA,NA,NA,NA,NA
"86a4cce080bad15c5d1a3458c7062ecf","Eukaryota",NA,NA,NA,NA,NA,NA
"668a64cc5080cba1bade84dad138d239","Eukaryota",NA,NA,NA,NA,NA,NA
"af4724030b40bffe6df9fbe52937b1f7","Eukaryota",NA,NA,NA,NA,NA,NA
"b033986b778ab808f25d4d77b3dcd1f8","Eukaryota",NA,NA,NA,NA,NA,NA
"ff70889e171826dfd6d2d0b667aca465","Eukaryota",NA,NA,NA,NA,NA,NA
"b75f5d62b4bc298b8e2ada17aeb0c53d","Eukaryota",NA,NA,NA,NA,NA,NA
"2876357c383a05b77a2863e15afbf826","Eukaryota",NA,NA,NA,NA,NA,NA
"27a427b3be9868485a199c0920d3457d","Eukaryota",NA,NA,NA,NA,NA,NA
"92ff38f65363ab25ddc1a173ca32764d","Eukaryota",NA,NA,NA,NA,NA,NA
"c7c435fb82de849ff9b0eb0114907b88","Eukaryota",NA,NA,NA,NA,NA,NA
"df36c337ea80723fd934dbdb459ec5c2","Eukaryota",NA,NA,NA,NA,NA,NA
"a59d8f9df798c113324a92a4b92c6b8a","Eukaryota",NA,NA,NA,NA,NA,NA
"218754c28476bec8ca1f60e14b2373bd","Eukaryota",NA,NA,NA,NA,NA,NA
"7f61a8a9a9269d56b0ae6ccc13ef2328","Eukaryota",NA,NA,NA,NA,NA,NA
