"","superkingdom","phylum","class","order","family","genus","species"
"cd4b89b62da65adb176b3306ef684dfc","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"1f89ce3592e9473a83b95e2294a10249","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"43b63cfd4440e195771f279fd40c8aea","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"ae6d9c3017e9758b3059a5a23b55a9d1","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"e46d7479cb69fa0730f5723b5a1ac740","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"d9cc36d89f8020409f6030124da0c615","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"99023d63a90945c91dc5eda80f10ca3b","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"4a7e818cc8baf3119f75d87c13782961","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"648ab2b01a5b9540e3dc40dd05528acc","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"d64d45fc27d56196d8f7153554a30d19","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"3afe27777adec71c43493eea95485419","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"260c62e36f7917d644fae5a46d1bbce1","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"e784cf10c5cd4cb75cbe36d9fd37ccdc","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
