"","superkingdom","phylum","class","order","family","genus","species"
"e32f6e790f5a7a6b9782998b0192ffef","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"00656de15f7dd9c897c2798345e35992","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"df12b59744cc101c3fc950b18b275f9e","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"0caba9a311de8cb910991e17bab046e3","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"0f8438afb02aed0d62173b129234bd94","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera","Truepera radiovictrix"
"93cd2b4d03048cc61edfe506a334af59","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiophilus"
"b2daf5fa698f7bd10f6dabe3ff37e221","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus wulumuqiensis"
"a720b882908f0b4126059e773bca1dfb","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus wulumuqiensis"
"916271117f64f405f1efcb71a8b2b3ca","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus taklimakanensis"
"919b0fb46a77f0e1b1cd35fb2173a9eb","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus taklimakanensis"
"66f99406a26dba5687d24e1441554294","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus budaensis"
"54a7d127f91bcdd49cb9a323798fe3f8","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus marmoris"
"8e87e391b31b08dacaaab3c8997c2b8c","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiotolerans"
"fccf77c0563ae34e8d648c0e37a15975",NA,NA,NA,NA,NA,NA,NA
"b1ceae5d7582dd222283dc20204ba4bf","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus lutimaris"
"ad8c23b77734b93b28a18e5a32d59522","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella paramesenteroides"
"cdbaccaf9cfbf0b551be02dd5a350b6b","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus transvaalensis"
"4ebead20ecd7ee7ea04fd0310d223971","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus transvaalensis"
"78e68d9c350ac0ef8be1f40fd31b2b65","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus transvaalensis"
"2e35d9549cf89723d5ad723377db8087","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus",NA
"313723bf0d7c5f778e0120163d99a7df","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Alkaliphilus","Alkaliphilus transvaalensis"
"7195bb793600be2e40df1e08a327d4b7","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Effusibacillus","Effusibacillus dendaii"
